symbol,date,entry_price,atr,atr_period,atr_mult_stop,atr_mult_limit,stop_loss_price,stop_loss_pct,take_profit_price,take_profit_pct,ema9,ema30,macd,macd_signal,macd_hist,trend_positive
DBC,2025-11-10,22.9934,0.2266,14,2.0,3.0,22.5403,1.971,23.6731,2.956,22.852461239522945,22.63982691816237,0.14137904625431474,0.11453836007092341,0.026840686183391332,True
AIZ,2025-11-12,226.48,4.9761,14,2.0,3.0,216.5277,4.394,241.4084,6.591,221.6890516337242,216.57990044987628,3.1689677946028496,1.5505276166147315,1.6184401779881181,True
INBX,2025-11-10,79.724,9.4735,14,2.0,3.0,60.7771,23.766,108.1444,35.648,76.27397360011776,57.07492798125852,13.060151371366679,11.49358299886189,1.5665683725047899,True
GM,2025-11-10,70.25,1.597,14,2.0,3.0,67.0559,4.547,75.0411,6.82,68.82903701834515,64.83384422241447,2.738649494585175,2.6070322378679363,0.1316172567172389,True
PHG,2025-11-10,28.175,0.6757,14,2.0,3.0,26.8236,4.797,30.2021,7.195,28.009551607068726,27.917594272682056,0.051779350502584975,0.04888442629022257,0.0028949242123624055,True
YUMC,2025-11-10,45.1,1.1104,14,2.0,3.0,42.8793,4.924,48.4311,7.386,44.071631964508114,43.95205440625357,0.09220137018925101,0.07478798392743077,0.017413386261820235,True
SEDG,2025-11-10,43.925,3.4979,14,2.0,3.0,36.9293,15.927,54.4186,23.89,38.79213503290033,37.254502944422065,0.8879764537960284,0.4356450617229848,0.4523313920730436,True
PDD,2025-11-10,137.0,2.9018,14,2.0,3.0,131.1964,4.236,145.7054,6.354,135.71624315676144,132.92922653196078,1.84471818904359,1.8090452186908599,0.03567297035273009,True
KO,2025-11-10,69.92,1.1028,14,2.0,3.0,67.7145,3.154,73.2283,4.732,69.33197496331549,68.62878475960616,0.4945583634582533,0.46274715220267343,0.031811211255579896,True
PTCT,2025-11-10,70.935,2.5559,14,2.0,3.0,65.8233,7.206,78.6026,10.809,69.97811798312232,66.6060392616654,2.214814829694987,2.0816314330943837,0.1331833966006033,True
CHRW,2025-11-10,149.43,5.1971,14,2.0,3.0,139.0357,6.956,165.0214,10.434,146.99383144206791,138.01032897307243,5.896352187242627,4.34429433733484,1.5520578499077873,True
RIVN,2025-11-10,15.4,0.8425,14,2.0,3.0,13.715,10.942,17.9275,16.412,14.424827806462053,13.846232178808513,0.3409242682379787,0.05443508814454946,0.2864891800934293,True
MAR,2025-11-10,288.94,7.1639,14,2.0,3.0,274.6121,4.959,310.4318,7.438,278.353615775182,270.5916219953416,4.835338588696345,2.12041940476378,2.7149191839325653,True
APH,2025-11-12,141.92,3.8329,14,2.0,3.0,134.2543,5.401,153.4186,8.102,140.663049611487,133.83058130772855,4.623903036666803,4.563869390914531,0.06003364575227188,True
NET,2025-11-10,239.92,10.7186,14,2.0,3.0,218.4829,8.935,272.0757,13.403,232.46620457944513,224.74297365420446,5.1020870352214445,4.144246778321711,0.9578402568997335,True
JPM,2025-11-10,314.92,6.0079,14,2.0,3.0,302.9042,3.815,332.9437,5.723,310.8854521660014,306.8636327776724,2.4488727435207807,1.082855877086851,1.3660168664339296,True
PH,2025-11-10,839.585,21.4372,14,2.0,3.0,796.7105,5.107,903.8967,7.66,803.3558573189435,772.7979651213313,19.359854231445524,10.561947939678358,8.797906291767166,True
ISRG,2025-11-10,566.3,19.3883,14,2.0,3.0,527.5234,6.847,624.4648,10.271,546.1452587740407,507.8838901586213,26.416701729834017,23.61869926655345,2.798002463280568,True
STT,2025-11-10,118.91,2.2379,14,2.0,3.0,114.4343,3.764,125.6236,5.646,117.2139856803051,115.75391918159266,0.9340845979541683,0.6915127274060006,0.24257187054816776,True
HTHT,2025-11-10,43.955,1.1376,14,2.0,3.0,41.6798,5.176,47.3678,7.764,40.64820733829808,39.0381200349569,1.0036383699974465,0.5683079674775895,0.435330402519857,True
