symbol,date,entry_price,atr,atr_period,atr_mult_stop,atr_mult_limit,stop_loss_price,stop_loss_pct,take_profit_price,take_profit_pct,ema9,ema30,macd,macd_signal,macd_hist,trend_positive
WDC,2025-10-03,131.31,5.6848,14,2.0,3.0,119.9404,8.659,148.3643,12.988,120.53892245843734,103.57927930341714,11.225944879594266,9.276665529961782,1.9492793496324836,True
PLX,2025-10-03,2.43,0.115,14,2.0,3.0,2.1999,9.467,2.7751,14.201,2.2112978036170707,1.9346382962061013,0.1836760840099303,0.14205917243409738,0.041616911575832916,True
D,2025-10-03,61.53,0.9821,14,2.0,3.0,59.5659,3.192,64.4762,4.788,60.83671297351776,60.221453810803226,0.38300680538635135,0.23782560631852262,0.14518119906782873,True
WRB,2025-10-03,76.86,1.3453,14,2.0,3.0,74.1693,3.501,80.896,5.251,75.58545188256575,73.74108932793261,1.2295648348353865,1.0068126266923318,0.22275220814305463,True
INBX,2025-10-03,35.65,1.8909,14,2.0,3.0,31.8683,10.608,41.3226,15.912,32.86847556684304,29.19264129612825,2.3805261068087056,1.8072804084058811,0.5732456984028245,True
EH,2025-10-03,19.09,0.8104,14,2.0,3.0,17.4691,8.491,21.5213,12.736,18.545986604724693,17.713268081914382,0.5492734475683463,0.33879538470431075,0.21047806286403553,True
SPY,2025-10-03,669.21,4.9711,14,2.0,3.0,659.2679,1.486,684.1232,2.228,665.4968207367931,656.4309640307885,6.050342415028695,5.988622334580558,0.06172008044813637,True
AOS,2025-10-03,73.35,1.1338,14,2.0,3.0,71.0823,3.092,76.7515,4.637,72.98424387908503,72.49245298661477,0.30323021662667315,0.2791480750318498,0.02408214159482336,True
BABA,2025-10-03,188.03,6.4521,14,2.0,3.0,175.1259,6.863,207.3862,10.294,178.88557437722076,158.82106056418277,13.575416175468547,12.29597392770003,1.2794422477685163,True
NSC,2025-10-03,300.15,4.2249,14,2.0,3.0,291.7003,2.815,312.8246,4.223,296.09964444094214,287.0032922548015,5.991371217119138,4.652237681365528,1.3391335357536098,True
WMB,2025-10-03,64.48,1.3746,14,2.0,3.0,61.7307,4.264,68.6039,6.396,63.18768952066424,60.764210504204016,1.6322807974263895,1.273839291266686,0.3584415061597035,True
NEM,2025-10-03,86.86,2.4461,14,2.0,3.0,81.9678,5.632,94.1983,8.448,84.77747379415098,79.4088871747782,3.6153682340526387,3.5591069256494756,0.056261308403163124,True
RUN,2025-10-03,19.11,1.2191,14,2.0,3.0,16.6718,12.759,22.7673,19.138,17.953664615145275,16.413554995028214,0.9961540842251608,0.8806780325300381,0.11547605169512276,True
FDX,2025-10-03,244.61,5.6341,14,2.0,3.0,233.3419,4.607,261.5122,6.91,238.15726213020147,232.83235201570008,3.4257262349489963,1.9964736982818665,1.4292525366671298,True
LGND,2025-10-03,180.99,5.3157,14,2.0,3.0,170.3586,5.874,196.9371,8.811,175.38164012215097,166.53291105572703,5.738951562378702,5.1859199252598245,0.5530316371188775,True
SNOW,2025-10-03,235.09,7.4625,14,2.0,3.0,220.165,6.349,257.4774,9.523,229.87187086360368,222.90112806191985,4.593299986860984,3.825692689544753,0.7676072973162311,True
QS,2025-10-03,15.92,1.4764,14,2.0,3.0,12.9673,18.547,20.3491,27.821,13.586315016397826,11.408846736885934,1.4488704610964493,1.1307213858943586,0.3181490752020908,True
FTNT,2025-10-03,85.79,1.9895,14,2.0,3.0,81.811,4.638,91.7585,6.957,84.63605859737578,83.58546867691477,0.7725188380280912,0.10768614750587852,0.6648326905222126,True
TRP,2025-10-03,55.11,0.8194,14,2.0,3.0,53.4712,2.974,57.5682,4.461,53.93992924423744,52.599313272720366,0.8867062587408014,0.7783037264899548,0.10840253225084662,True
HUT,2025-10-03,40.1,2.8547,14,2.0,3.0,34.3905,14.238,48.6642,21.357,36.80493762789602,32.436956098866375,2.9721020549743997,2.963304138233294,0.008797916741105638,True
