symbol,date,entry_price,atr,atr_period,atr_mult_stop,atr_mult_limit,stop_loss_price,stop_loss_pct,take_profit_price,take_profit_pct,ema9,ema30,macd,macd_signal,macd_hist,trend_positive
CLNE,2025-10-15,2.92,0.1554,14,2.0,3.0,2.6092,10.644,3.3862,15.966,2.742828156168345,2.6304455973358802,0.070999516288349,0.05700493085228572,0.013994585436063273,True
GLD,2025-10-15,387.39,5.8152,14,2.0,3.0,375.7596,3.002,404.8356,4.503,372.34952455527093,352.7858842108884,13.01299551427644,11.069846916619916,1.9431485976565241,True
WEC,2025-10-15,117.28,1.6012,14,2.0,3.0,114.0777,2.73,122.0835,4.096,115.15780646844179,112.53550238173924,1.760461801502771,1.5199728756516997,0.2404889258510714,True
AMD,2025-10-15,238.6,14.6174,14,2.0,3.0,209.3652,12.253,282.4522,18.379,213.86001549614818,186.83731732793458,17.69886801626339,11.994642695677037,5.704225320586353,True
EDU,2025-10-15,58.43,2.0474,14,2.0,3.0,54.3352,7.008,64.5723,10.512,53.79406661262973,52.239496146539665,1.0007831451084073,0.7860940592002457,0.2146890859081616,True
POWL,2025-10-15,329.76,16.1976,14,2.0,3.0,297.3647,9.824,378.3529,14.736,314.19989476475854,297.8342322469104,10.832674118697923,10.535000228046583,0.29767389065134076,True
SLV,2025-10-15,48.33,1.4832,14,2.0,3.0,45.3636,6.138,52.7797,9.207,45.58907985058009,41.91834882513837,2.4453481636893315,2.0709347090593626,0.3744134546299689,True
RUN,2025-10-15,21.29,1.4248,14,2.0,3.0,18.4404,13.385,25.5645,20.077,19.977485860398495,17.957775603984945,1.3272466286748639,1.156302406977766,0.17094422169709778,True
CVS,2025-10-15,80.67,1.8483,14,2.0,3.0,76.9734,4.582,86.2149,6.874,78.28284796492086,75.61204821284709,1.7536029921608929,1.5976086002412477,0.15599439191964515,True
PHAT,2025-10-15,13.45,1.0541,14,2.0,3.0,11.3417,15.675,16.6124,23.512,12.228771409123452,11.735903151949342,0.29162637355164023,0.1677307987044703,0.12389557484716993,True
RKLB,2025-10-15,69.27,4.8495,14,2.0,3.0,59.571,14.002,83.8185,21.003,63.53769784440819,55.20032152956599,5.452243708304543,3.9260988602795743,1.5261448480249689,True
QS,2025-10-15,17.85,1.8251,14,2.0,3.0,14.1999,20.449,23.3252,30.673,15.925931189541501,13.345678863016609,1.7387036623128278,1.5283238579072747,0.21037980440555315,True
EL,2025-10-15,95.27,3.9596,14,2.0,3.0,87.3509,8.312,107.1487,12.468,92.34011481099297,89.95670206148021,1.4929847144189665,0.7515432612173526,0.7414414532016139,True
ALNY,2025-10-15,470.27,13.7882,14,2.0,3.0,442.6936,5.864,511.6345,8.796,462.3556047358212,453.80184685503707,5.067302388255712,4.566970073693735,0.5003323145619767,True
ADM,2025-10-15,63.38,2.0026,14,2.0,3.0,59.3747,6.319,69.3879,9.479,61.82629254855648,61.10908768977582,0.4183829525413856,0.2663586249849449,0.15202432755644069,True
EQIX,2025-10-15,822.24,14.5061,14,2.0,3.0,793.2277,3.528,865.7584,5.293,804.770586584542,792.8526164154731,7.632951665194469,3.8915563685778576,3.741395296616611,True
VTWO,2025-10-15,101.21,1.7446,14,2.0,3.0,97.7207,3.448,106.4439,5.171,99.24641386468478,97.60105579218185,1.0779861709177823,1.0718436180283168,0.0061425528894654136,True
TSM,2025-10-15,304.71,11.7428,14,2.0,3.0,281.2243,7.708,339.9385,11.561,295.62300975180534,278.2068968171302,11.90875600459259,11.869809681633676,0.03894632295891398,True
NTLA,2025-10-15,25.93,2.1091,14,2.0,3.0,21.7118,16.268,32.2574,24.402,23.19836240495234,18.627382372452196,3.0796712913093742,2.6264792739088922,0.453192017400482,True
K,2025-10-15,82.79,0.6239,14,2.0,3.0,81.5421,1.507,84.6618,2.261,82.52099217437629,81.04328566653757,1.0145202418811152,0.8443289558618985,0.17019128601921674,True
